FIPS,State,County,Years of Potential Life Lost Rate,% Fair/Poor,Physically Unhealthy Days,Mentally Unhealthy Days,% LBW,% Smokers,% Obese,Food Environment Index,% With Access,% Excessive Drinking,% Alcohol-Impaired,Chlamydia Rate,Teen Birth Rate,% Uninsured,PCP Rate,Dentist Rate,MHP Rate,Preventable Hosp. Rate,% Receiving HbA1c,% Mammography,HS Graduation Rate,% Some College,% Unemployed,% Children in Poverty,80th Percentile Income,20th Percentile Income,Income Ratio,% Single-Parent Households,Violent Crime Rate,Injury Death Rate,Average Daily PM2.5,% Pop in Viol,% Severe Housing Problems,% Drive Alone,% Long Commute - Drives Alone
06001,California,Alameda,4886.73,14.5,3,3.2,7.250089991,10.6,20.5,7.6,99.73124029,19.4,34.32835821,422.1,23.92897231,14.74294644,102.01194,87.84647,460.13309,42.04,79.80043806,60.07384813,80.52791832,70.9680128,7.413177706,15.4,146517,27248,5.377165297,29.22436444,723.4919831,42.4007937,8.46,0,25.45881826,65.10961625,40.6
06003,California,Alpine,,,,,,,23.5,6.5,100,,33.33333333,,,18.53035144,0,0,690.25022,22.93,83.33333333,69.41176471,,68.57142857,11.44859813,31.9,118050,21105,5.593461265,39.37007874,719.2174914,,10.32,45.75276243,21.12676056,52.20264317,44.7
06005,California,Amador,6601.66,17.5,4,4.2,5.867475974,21.2,24.8,7.7,68.99530073,17.8,20.93023256,178.2,21.93995381,15.25321785,67.50371,84.88732,145.12993,41.85,84.93870403,69.85446985,92,54.01925078,9.865303068,22.1,101576,23139,4.389818056,29.34463081,294.0792622,93.37166671,9.4,19.15709352,19.7759888,81.01475709,39.2
06007,California,Butte,7649.95,17.3,4.5,4.5,5.814556561,19.2,24.4,6.4,84.03909091,20.4,34.84848485,382.3,26.49146116,19.31215631,66.80539,68.44072,425.05291,59.12,81.07112497,62.40889912,86.4179704,67.77840588,10.03576972,25,88479,18420,4.803420195,35.20829632,304.1081675,90.94906852,8.93,0.407081616,23.2222483,73.97069667,21.6
06009,California,Calaveras,7101.19,21.4,4.3,4.3,5.156683856,19.1,24.3,7.7,62.80661723,23.9,30.6122449,181,22.26152086,16.47886081,44.70073,47.17511,121.30742,51.3,85.25073746,66.08,93.6,64.89524783,10.42877907,21.8,104832,23636,4.435268235,29.17010006,228.926379,92.29268207,9.54,3.424043633,19.45401537,80.08959095,51.8
06011,California,Colusa,5942.57,,2.9,2.6,5.899104963,,22.3,7,73.2573883,,20.51282051,182.1,44.86830154,22.80015014,32.69348,32.7746,154.50885,65.01,88.95899054,58.65921788,85.89031339,42.7800521,18.43676967,20,92761,24835,3.735091605,33.39878907,215.9194312,55.26259097,7.55,1.563281641,21.67381974,75.40847739,25.6
06013,California,Contra Costa,5040.11,13.8,3.3,3.4,6.766302827,11.6,22.4,8,95.77788899,18.4,30.45112782,317.6,21.40861425,13.78403415,95.03546,79.78395,290.89613,43.95,79.76004173,64.1412138,84.28819389,68.39947623,7.390218376,13.4,156066,32397,4.817297898,26.14714255,396.5962458,47.46999212,8.29,0.00245639,23.78108782,69.67099662,45.9
06015,California,Del Norte,9082.35,15.9,6.3,4,5.172413793,20.3,25.5,6,78.049633,,22.72727273,127.3,53.75989446,17.93647003,77.766,71.75403,340.83163,55.69,85.31317495,51.50501672,90,41.48423517,11.56444204,32.6,84225,14534,5.795032338,41.68488313,492.5937489,96.73756081,7.96,0,24.18533605,75.30821121,8
06017,California,El Dorado,5096.16,9.7,2.7,3.1,6.348167539,14.3,21,7.9,94.04500215,20.9,44.33962264,158.9,16.48713486,13.43198634,69.22868,79.23538,241.55786,37.07,81.93249504,66.82242991,94.44407457,69.62296819,8.512781484,13.8,134373,30022,4.475817734,22.16914722,241.194746,67.39366101,9.5,0.098977439,21.21057986,76.84414229,40.7
06019,California,Fresno,6784.17,23.4,4.2,3.7,7.522024335,13.9,28.5,6.5,77.17265839,17.5,30,635.6,53.55645729,22.33475633,64.03663,55.69094,244.64236,53.09,81.99406528,59.93608948,82.62985316,51.11937467,12.8790685,42,94241,18745,5.027527341,39.2131786,543.0533077,53.32780782,9.59,3.440017317,28.80072896,76.95403211,21.9
